C,class_weight,threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score,outer_fold
0.01,,0.3562,0.875,0.8055555555555556,0.8947368421052632,0.9444444444444444,0.6666666666666666,0.8,0.8230958230958232,0.8703703703703705,0.17960272969081456,1
0.01,balanced,0.2891,0.875,0.8055555555555556,0.8947368421052632,0.9444444444444444,0.6666666666666666,0.8,0.8230958230958232,0.8703703703703705,0.19448784035762823,1
0.1,,0.442,0.7916666666666666,0.75,0.8823529411764706,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7362637362637363,0.7777777777777778,0.16574527669955955,1
0.1,balanced,0.2121,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.7685185185185186,0.20320724540330462,1
1.0,balanced,0.2,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.7037037037037037,0.23655314638074873,1
1.0,,0.3362,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.7037037037037036,0.20564796241151564,1
10.0,,0.91,0.625,0.6944444444444444,0.9090909090909091,0.5555555555555556,0.8333333333333334,0.38461538461538464,0.6079854809437386,0.6481481481481481,0.2803665973051947,1
10.0,balanced,0.1415,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.5,0.6666666666666667,0.6666666666666666,0.3025286142861004,1
100.0,,0.1218,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.5,0.6666666666666667,0.6018518518518519,0.34097200378451803,1
100.0,balanced,0.0717,0.7083333333333334,0.6388888888888888,0.8235294117647058,0.7777777777777778,0.5,0.42857142857142855,0.6307692307692307,0.5833333333333334,0.3609577204653705,1
0.01,balanced,0.3977,0.9166666666666666,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9074074074074073,0.18609928632353845,2
0.01,,0.4876,0.7916666666666666,0.8055555555555556,0.9333333333333333,0.7777777777777778,0.8333333333333334,0.5555555555555556,0.7575757575757576,0.8796296296296297,0.17487813445122669,2
0.1,balanced,0.5,0.75,0.7777777777777778,0.9285714285714286,0.7222222222222222,0.8333333333333334,0.5,0.71875,0.8333333333333333,0.17351300365673641,2
0.1,,0.77,0.6666666666666666,0.7777777777777778,1.0,0.5555555555555556,1.0,0.42857142857142855,0.6571428571428571,0.8148148148148148,0.1496850991023603,2
1.0,,0.3489,0.7916666666666666,0.6944444444444444,0.8421052631578947,0.8888888888888888,0.5,0.6,0.7051597051597052,0.7314814814814815,0.1867509022045449,2
1.0,balanced,0.1792,0.7916666666666666,0.6944444444444444,0.8421052631578947,0.8888888888888888,0.5,0.6,0.7051597051597052,0.7314814814814815,0.2208681495132476,2
10.0,,0.4194,0.7916666666666666,0.6944444444444444,0.8421052631578947,0.8888888888888888,0.5,0.6,0.7051597051597052,0.638888888888889,0.2196308537786916,2
10.0,balanced,0.2466,0.7916666666666666,0.6944444444444444,0.8421052631578947,0.8888888888888888,0.5,0.6,0.7051597051597052,0.638888888888889,0.24411192331770573,2
100.0,,0.74,0.7916666666666666,0.6944444444444444,0.8421052631578947,0.8888888888888888,0.5,0.6,0.7051597051597052,0.5833333333333334,0.2332291221129075,2
100.0,balanced,0.665,0.7083333333333334,0.6388888888888888,0.8235294117647058,0.7777777777777778,0.5,0.42857142857142855,0.6307692307692307,0.5740740740740741,0.2386663535897289,2
100.0,,0.5,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.7685185185185186,0.1266835825332618,3
100.0,balanced,0.5,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.7592592592592593,0.13094575358934105,3
0.01,balanced,0.2511,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.7407407407407407,0.2154220746584227,3
10.0,,0.5,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.7222222222222222,0.12517585909518378,3
10.0,balanced,0.5,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.712962962962963,0.13900712943812155,3
1.0,,0.5,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.7037037037037037,0.13387363863945487,3
0.01,,0.3522,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.7685185185185185,0.19334918112460298,3
0.1,,0.3545,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.712962962962963,0.1544358511903251,3
0.1,balanced,0.1745,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.712962962962963,0.2000492473771879,3
1.0,balanced,0.281,0.8333333333333334,0.7222222222222222,0.85,0.9444444444444444,0.5,0.75,0.7473684210526316,0.6759259259259259,0.17138966034123496,3
0.01,balanced,0.4526,0.7916666666666666,0.8611111111111112,1.0,0.7222222222222222,1.0,0.5454545454545454,0.7722960151802657,0.851851851851852,0.21303648963273183,4
0.01,,0.4957,0.8333333333333334,0.8333333333333334,0.9375,0.8333333333333334,0.8333333333333334,0.625,0.7983193277310925,0.8240740740740742,0.19912733502456645,4
0.1,balanced,0.5,0.7916666666666666,0.8055555555555556,0.9333333333333333,0.7777777777777778,0.8333333333333334,0.5555555555555556,0.7575757575757576,0.7592592592592594,0.19589442538115617,4
0.1,,0.75,0.625,0.75,1.0,0.5,1.0,0.4,0.6190476190476191,0.7222222222222223,0.1773662251204858,4
1.0,,0.89,0.625,0.6944444444444444,0.9090909090909091,0.5555555555555556,0.8333333333333334,0.38461538461538464,0.6079854809437386,0.6296296296296297,0.22234594115485776,4
1.0,balanced,0.78,0.625,0.6944444444444444,0.9090909090909091,0.5555555555555556,0.8333333333333334,0.38461538461538464,0.6079854809437386,0.5925925925925926,0.2351878830750774,4
10.0,balanced,0.965,0.5833333333333334,0.6666666666666667,0.9,0.5,0.8333333333333334,0.35714285714285715,0.5714285714285714,0.5740740740740741,0.2761928174314509,4
100.0,balanced,0.9937,0.625,0.6388888888888888,0.8461538461538461,0.6111111111111112,0.6666666666666666,0.36363636363636365,0.5901328273244781,0.5462962962962963,0.30393916773709306,4
10.0,,0.9841,0.5,0.6111111111111112,0.875,0.3888888888888889,0.8333333333333334,0.3125,0.49650349650349646,0.5833333333333333,0.26364100766971976,4
100.0,,0.9977,0.5,0.6111111111111112,0.875,0.3888888888888889,0.8333333333333334,0.3125,0.49650349650349646,0.5185185185185185,0.2792235937223286,4
