Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.0,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.005,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.01,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.015,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.02,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.025,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.03,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.035,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.04,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.045,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.05,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.055,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.06,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.065,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.07,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.075,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.08,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.085,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.09,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.095,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.1,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.105,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.11,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.115,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.12,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.125,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.13,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.1323710664335984,0.75,0.5,0.75,1.0,0.0,0.0,0.42857142857142855,0.875,0.20014339554667712
0.135,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.14,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.145,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.15,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
